task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-28T11:42:27,A2_log,4d7db113-7de1-4213-a4e1-2459a90abe57,0.3609898090362549,3.6944262600341076e-06,1.0197450983985466e-05,62.5,0.0,141.20075225830078,6.287888520293766e-06,0,1.4189149580306548e-05,2.0477038100600312e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
model,2024-05-28T11:42:37,A2_log,4d7db113-7de1-4213-a4e1-2459a90abe57,10.30368447303772,0.00010517516430628077,1.0208056344685041e-05,62.5,0.0,141.20075225830078,0.00017887189156479306,0,0.0004040808310365037,0.0005829527226012967,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
analyse,2024-05-28T11:42:37,A2_log,4d7db113-7de1-4213-a4e1-2459a90abe57,0.04015946388244629,4.0677432693451737e-07,1.0131263615011336e-05,62.5,0.0,141.20075225830078,6.955448124143862e-07,0,1.5590768269703394e-06,2.2546216393847527e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save,2024-05-28T11:42:38,A2_log,4d7db113-7de1-4213-a4e1-2459a90abe57,0.13208699226379395,1.3436698142959511e-06,1.0181507521341726e-05,62.5,0.0,141.20075225830078,2.2893854313426492e-06,0,5.158152033300236e-06,7.447537464642939e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
