task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-31T08:25:30,A4,bbef72b0-aa8a-4e5c-93b9-0a7f8463abd1,7.607897758483887,7.768055183092217e-05,1.0207887050325574e-05,62.5,0.0,141.20075225830078,0.00013211357924673294,0,0.0002984451888968124,0.00043055876814354535,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
model,2024-05-31T08:31:22,A4,bbef72b0-aa8a-4e5c-93b9-0a7f8463abd1,352.3189413547516,0.0035967013869695726,1.0208672523403828e-05,62.5,0.0,141.20075225830078,0.006116632872985469,0,0.01381874711664734,0.01993537998963281,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
analyse_save,2024-05-31T08:31:25,A4,bbef72b0-aa8a-4e5c-93b9-0a7f8463abd1,2.4351577758789062,2.4854158324165345e-05,1.020689886985158e-05,62.5,0.0,141.20075225830078,4.227310833003744e-05,0,9.548564259373449e-05,0.0001377587509237728,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
