task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-28T15:20:04,A3,c6eee832-ac35-4268-89a4-147e8bb5703a,13.670442342758179,0.00013956570278303012,1.0208171064888154e-05,62.5,0.0,141.20075225830078,0.0002373586388097869,0,0.000536209978418151,0.0007735686172279379,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
model,2024-05-28T15:20:04,A3,c6eee832-ac35-4268-89a4-147e8bb5703a,0.21610164642333984,2.2020094596087456e-06,1.0191390942267047e-05,62.5,0.0,141.20075225830078,3.7493970659044015e-06,0,8.455645998583388e-06,1.220504306448779e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
analyse,2024-05-28T15:20:05,A3,c6eee832-ac35-4268-89a4-147e8bb5703a,0.1415269374847412,1.43870717256921e-06,1.0180905239003109e-05,62.5,0.0,141.20075225830078,2.4512575732337047e-06,0,5.523041956576025e-06,7.974299529809703e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save,2024-05-28T15:20:05,A3,c6eee832-ac35-4268-89a4-147e8bb5703a,0.07109427452087402,7.222629555232252e-07,1.0158478682696212e-05,62.5,0.0,141.20075225830078,1.2325247128804496e-06,0,2.770750766967504e-06,4.003275479847954e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
