task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-28T13:08:30,A2_nn,938901db-a1aa-4702-a58b-f2a0e080f834,0.38815951347351074,3.979573900751436e-06,1.0197399952357893e-05,62.5,0.0,141.20075225830078,6.7728136976559955e-06,0,1.5284707728983448e-05,2.2057521426639444e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
model,2024-05-28T13:08:47,A2_nn,938901db-a1aa-4702-a58b-f2a0e080f834,17.365911960601807,0.00017724936029854375,1.0207747343598999e-05,62.5,0.0,141.20075225830078,0.000301455267601543,0,0.0006809819631544997,0.0009824372307560426,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
analyse,2024-05-28T13:08:47,A2_nn,938901db-a1aa-4702-a58b-f2a0e080f834,0.23997735977172852,2.4487299513646806e-06,1.019464538605792e-05,62.5,0.0,141.20075225830078,4.168579147921655e-06,0,9.403957690778952e-06,1.3572536838700553e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save,2024-05-28T13:08:47,A2_nn,938901db-a1aa-4702-a58b-f2a0e080f834,0.1399400234222412,1.423648403649718e-06,1.018434555266833e-05,62.5,0.0,141.20075225830078,2.425106035338514e-06,0,5.465727493742618e-06,7.890833529081024e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
