task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-28T13:07:35,A2_nn,ca053de9-ee90-4b09-96ae-e91f57f4c7ea,0.37361836433410645,3.829844751436534e-06,1.0197398242274765e-05,62.5,0.0,141.20075225830078,6.518703367975023e-06,0,1.470891666681382e-05,2.1227620034788844e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
model,2024-05-28T13:07:52,A2_nn,ca053de9-ee90-4b09-96ae-e91f57f4c7ea,17.66791558265686,0.0001803143001487861,1.0207611906470444e-05,62.5,0.0,141.20075225830078,0.0003066725408037504,0,0.0006927526836682319,0.0009994252244719822,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
analyse,2024-05-28T13:07:52,A2_nn,ca053de9-ee90-4b09-96ae-e91f57f4c7ea,0.14220833778381348,2.135177358412359e-06,1.0193386209261424e-05,62.5,0.0,141.20075225830078,3.635241753525227e-06,0,8.199372078865948e-06,1.183461383239123e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save,2024-05-28T13:07:53,A2_nn,ca053de9-ee90-4b09-96ae-e91f57f4c7ea,0.21391510963439941,2.17817716276561e-06,1.0192524894650615e-05,62.5,0.0,141.20075225830078,3.7084685431586434e-06,0,8.364479625902325e-06,1.2072948169060752e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
