task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-29T15:14:23,A3,eaddab6d-e387-42b7-8fde-d86527b271a5,74.13757634162903,0.0007568593623386452,1.0208625971455422e-05,62.5,0.0,141.20075225830078,0.0012871371664934688,0,0.0029078952711715377,0.004195032437665006,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
model,2024-05-29T15:14:24,A3,eaddab6d-e387-42b7-8fde-d86527b271a5,0.447467565536499,4.564500070860242e-06,1.02009406041681e-05,62.5,0.0,141.20075225830078,7.766911553012089e-06,0,1.7532670921355156e-05,2.529958247436681e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
analyse,2024-05-29T15:14:24,A3,eaddab6d-e387-42b7-8fde-d86527b271a5,0.13235187530517578,1.3461698306459083e-06,1.0182937747835284e-05,62.5,0.0,141.20075225830078,2.2934046056534516e-06,0,5.167989660139795e-06,7.46139426579303e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save,2024-05-29T15:14:24,A3,eaddab6d-e387-42b7-8fde-d86527b271a5,0.06641411781311035,6.74360500781449e-07,1.016010972330053e-05,62.5,0.0,141.20075225830078,1.150630414485914e-06,0,2.5871368857905384e-06,3.73776730027732e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
