task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load,2024-05-28T15:14:33,A3,8566fc26-6244-47df-8dff-fb4eeac4573f,13.748528003692627,0.00014036299386783574,1.020819118505237e-05,62.5,0.0,141.20075225830078,0.0002387139118380017,0,0.0005392738380973469,0.0007779877499353486,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
model,2024-05-28T15:14:34,A3,8566fc26-6244-47df-8dff-fb4eeac4573f,0.2437138557434082,2.4817936370255696e-06,1.0190933928329299e-05,62.5,0.0,141.20075225830078,4.2259527577294355e-06,0,9.529845649444767e-06,1.3755798407174202e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
analyse,2024-05-28T15:14:34,A3,8566fc26-6244-47df-8dff-fb4eeac4573f,0.15626788139343262,1.5890022450279766e-06,1.0181841402455985e-05,62.5,0.0,141.20075225830078,2.7074292302131805e-06,0,6.099908424721484e-06,8.80733765493461e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save,2024-05-28T15:14:34,A3,8566fc26-6244-47df-8dff-fb4eeac4573f,0.08227276802062988,8.358510947570363e-07,1.016354609538997e-05,62.5,0.0,141.20075225830078,1.4259045322736206e-06,0,3.2069541334749834e-06,4.632858665748604e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
