Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0103.b3.txt,1861.837,560.236,589.722,244.313,32,13,42,2374
0105.b3.txt,1385.135,861.486,760.135,396.959,9,7,17,1184
0122.b3.txt,1390.319,792.997,597.322,262.616,17,11,39,1942
0130.b3.txt,1575.975,759.754,693.018,426.078,23,22,15,1948
0133.b3.txt,1305.139,768.531,559.345,359.254,78,37,22,2199
0134.b3.txt,1562.137,940.767,807.201,813.008,15,3,15,1722
0139.b3.txt,1963.658,838.218,838.218,363.423,20,3,9,1706
0140.b3.txt,2699.748,647.603,580.32,277.544,16,6,2,1189
0165.b3.txt,1722.995,652.75,629.556,248.509,70,16,39,3018
0171.b3.txt,1622.807,789.474,814.536,313.283,15,36,20,1596
0200.b3.txt,1786.189,783.533,843.293,424.967,21,2,5,1506
0300.b3.txt,1593.052,843.672,803.97,292.804,32,19,54,2015
0303.b3.txt,1512.415,767.494,812.641,428.894,2,1,2,443
0304.b3.txt,1699.064,835.133,611.951,439.165,31,7,9,1389
0307.b3.txt,1616.273,736.668,769.654,230.896,16,21,25,1819
0308.b3.txt,1765.079,901.587,844.444,704.762,13,3,6,1575
0310.b3.txt,1750.205,718.981,805.259,562.859,26,30,15,2434
0313.b3.txt,1718.501,546.252,769.537,279.107,5,19,16,2508
1023.b3.txt,1256.41,724.359,769.231,448.718,14,9,18,1560
1057.b3.txt,1804.949,949.054,649.199,366.812,28,10,15,3435
1066.b3.txt,1705.508,884.534,958.686,429.025,10,1,16,1888
1069.b3.txt,1459.682,706.298,653.325,397.293,45,79,34,3398
1082.b3.txt,2103.896,675.325,886.364,318.182,13,6,17,3080
1097.b3.txt,1585.603,836.576,904.669,530.156,19,16,10,2056
1100.b3.txt,1622.013,745.836,658.943,304.127,20,9,4,1381
1102.b3.txt,1681.416,707.965,921.829,435.103,4,28,4,1356
1112.b3.txt,1591.276,888.53,823.91,460.42,12,3,11,1238
1508.b3.txt,1531.874,865.842,651.76,313.987,80,18,24,2102
1520.b3.txt,1173.539,774.807,530.131,285.455,33,14,66,2207
1532.b3.txt,1625.782,846.561,663.781,365.56,20,30,24,2079
1533.b3.txt,1709.782,893.29,707.357,339.531,15,4,23,2474
1534.b3.txt,1701.17,832.583,972.097,499.55,20,7,9,2222
1536.b3.txt,1823.056,745.308,680.965,466.488,16,28,7,1865
2018.b3.txt,1792.782,1030.268,675.204,296.857,16,5,14,1718
2034.b3.txt,1421.053,1142.105,605.263,394.737,18,9,16,1900
