Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0106.b7.txt,1762.887,1257.732,835.052,515.464,0,0,0,970
0107.b7.txt,1632.883,1081.081,1036.036,540.541,0,1,11,888
0137.b7.txt,2109.453,965.174,815.92,348.259,7,9,2,1005
0151.b7.txt,1934.26,1074.589,910.24,442.478,2,4,2,791
0157.b7.txt,1270.588,1223.529,882.353,588.235,7,6,2,850
0158.b7.txt,1838.407,1229.508,737.705,491.803,2,0,0,854
0178.b7.txt,1979.083,1021.722,949.316,716.01,6,2,6,1243
0185.b7.txt,1815.416,1156.187,821.501,618.661,5,0,0,986
0186.b7.txt,1714.286,1095.238,738.095,642.857,0,5,1,840
0198.b7.txt,2024.54,1079.755,809.816,503.067,0,1,2,815
0219.b7.txt,2094.595,1002.252,1013.514,585.586,1,1,0,888
0223.b7.txt,1982.083,1041.433,862.262,447.928,0,5,1,893
0224.b7.txt,2101.648,1030.22,947.802,315.934,2,1,1,728
0238.b7.txt,1688.034,1185.897,715.812,555.556,2,4,2,936
0318.b7.txt,2076.72,912.698,820.106,515.873,1,1,0,756
