Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0103.b1.txt,2045.952,1017.505,962.801,240.7,2,27,3,914
0105.b1.txt,2024.965,1040.222,679.612,859.917,0,1,1,721
0122.b1.txt,2131.148,1206.089,761.124,515.222,0,1,0,854
0134.b1.txt,1995.516,1008.969,807.175,661.435,0,0,0,892
0139.b1.txt,1885.714,1211.429,742.857,457.143,0,1,0,875
0140.b1.txt,2160.494,1024.691,728.395,543.21,0,9,0,810
0165.b1.txt,2026.578,963.455,575.858,598.007,9,2,0,903
0171.b1.txt,2080.103,1007.752,633.075,581.395,3,2,0,774
0200.b1.txt,2206.983,1059.85,785.536,822.943,0,4,3,802
0300.b1.txt,1657.696,914.962,1162.54,570.506,19,1,3,929
0304.b1.txt,1770.335,1307.815,749.601,622.01,1,0,0,627
0307.b1.txt,2070.875,852.713,697.674,287.929,18,6,3,903
0308.b1.txt,1915.709,977.011,929.119,727.969,1,0,0,1044
0310.b1.txt,2034.884,965.116,709.302,639.535,5,1,4,860
0313.b1.txt,1715.527,1064.061,651.466,738.328,0,6,1,921
1003.b1.txt,2082.867,963.046,974.244,459.127,6,2,6,893
1006.b1.txt,2027.972,955.711,839.161,524.476,0,10,8,858
1006.b1i.txt,2027.972,955.711,839.161,524.476,0,10,8,858
1012.b1.txt,2175.0,962.5,837.5,400.0,0,0,0,800
1021.b1.txt,1735.632,919.54,896.552,574.713,1,5,3,870
1023.b1.txt,1804.511,859.291,1084.855,805.585,1,4,5,931
1057.b1.txt,1734.496,1230.62,765.504,697.674,0,6,0,1032
1066.b1.txt,1922.17,1025.943,1084.906,601.415,1,2,3,848
1069.b1.txt,1610.555,828.025,646.042,618.744,6,3,10,1099
1081.b1.txt,1909.759,1122.77,766.002,503.673,2,4,3,953
1097.b1.txt,1954.964,962.129,941.658,593.654,12,7,2,977
1100.b1.txt,1989.319,1081.442,1148.198,560.748,0,0,0,749
1102.b1.txt,2287.356,977.011,678.161,471.264,0,4,4,870
1104.b1.txt,1848.185,946.095,715.072,550.055,5,9,7,909
1104.b1i.txt,1848.185,946.095,715.072,550.055,5,9,7,909
1112.b1.txt,2089.077,1145.281,678.685,593.849,0,2,0,943
1500.b1.txt,2264.382,869.033,734.394,538.556,1,9,7,817
1508.b1.txt,2206.983,1159.601,760.599,561.097,0,0,0,802
1520.b1.txt,1974.922,961.338,783.699,522.466,0,11,2,957
1523.b1.txt,1230.329,1201.717,858.369,686.695,1,18,4,699
1528.b1.txt,2002.086,1084.463,563.087,271.116,10,8,5,959
1532.b1.txt,2182.491,850.801,838.471,443.896,1,4,7,811
1541.b1.txt,2005.495,810.44,837.912,576.923,1,6,1,728
2012.b1.txt,1804.598,1034.483,643.678,574.713,3,0,1,870
2012.b1i.txt,1804.598,1034.483,643.678,574.713,3,0,1,870
2018.b1.txt,2201.646,967.078,792.181,483.539,0,5,8,972
2019.b1.txt,1572.482,1253.071,798.526,577.396,5,1,0,814
2028.b1.txt,1729.519,1248.375,572.172,637.191,7,0,0,769
2030.b1.txt,1708.861,1025.316,974.684,645.57,1,0,0,790
2032.b1.txt,1820.48,1238.938,758.534,619.469,4,0,0,791
2034.b1.txt,1871.658,975.936,628.342,574.866,5,2,2,748
2036.b1.txt,1725.732,1232.666,785.824,647.149,0,0,0,649
2042.b1.txt,1635.456,1173.533,736.579,611.735,2,1,7,801
2049.b1.txt,2138.92,992.282,694.598,518.192,5,1,4,907
2066.b1.txt,1836.461,1340.483,603.217,388.74,18,2,0,746
2070.b1.txt,2043.011,1075.269,537.634,442.055,3,4,2,837
2070.b1i.txt,2023.81,1071.429,535.714,440.476,3,4,2,840
3013.b1.txt,1969.197,1166.117,935.094,363.036,2,0,0,909
3018.b1.txt,1942.446,1235.012,683.453,527.578,2,0,1,834
3020.b1.txt,1904.762,1066.253,621.118,403.727,1,5,6,966
3062.b1.txt,2306.763,905.797,1002.415,507.246,0,0,0,828
3501.b1.txt,2311.757,977.543,924.703,422.721,3,0,2,757
3503.b1.txt,2405.797,811.594,753.623,376.812,0,5,0,690
3504.b1.txt,2091.584,952.97,717.822,482.673,7,10,16,808
3505.b1.txt,1629.393,1150.16,915.868,745.474,2,4,4,939
3506.b1.txt,2288.732,927.23,845.07,316.901,0,4,7,852
3508.b1.txt,1851.464,847.28,1108.787,564.854,3,12,1,956
3509.b1.txt,1791.045,1067.738,757.75,597.015,1,4,7,871
3510.b1.txt,1850.683,893.796,956.887,399.579,4,5,12,951
3511.b1.txt,1672.06,1186.624,895.361,701.187,0,0,0,927
3513.b1.txt,2157.676,1265.56,860.996,321.577,3,3,5,964
3514.b1.txt,2087.591,1021.898,875.912,408.759,8,3,1,685
3515.b1.txt,2293.144,1052.009,921.986,508.274,2,1,1,846
3518.b1.txt,1739.618,1077.441,583.614,662.177,5,5,0,891
3519.b1.txt,1437.599,963.665,821.485,458.136,0,30,4,633
3520.b1.txt,2424.242,898.99,858.586,606.061,0,9,0,990
3522.b1.txt,2060.134,1158.129,712.695,467.706,3,6,4,898
3523.b1.txt,2150.655,1091.703,1004.367,513.1,0,3,9,916
3525.b1.txt,1755.486,1206.897,736.677,360.502,1,0,2,638
4012.b1.txt,2249.173,970.232,705.623,672.547,1,2,0,907
4035.b1.txt,1563.732,1143.233,617.608,709.593,2,0,0,761
4036.b1.txt,1746.92,1007.839,985.442,481.523,4,3,1,893
4038.b1.txt,2109.005,995.261,746.445,639.81,0,2,0,844
4503.b1.txt,1862.5,1100.0,625.0,375.0,2,3,2,800
4507.b1.txt,2265.896,1306.358,774.566,508.671,2,12,1,865
