Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0140.c1.txt,1573.583,933.551,472.89,403.587,78,35,8,2453
0165.c1.txt,1742.486,816.409,580.829,284.322,52,17,6,2462
0200.c1.txt,1177.655,1021.641,649.22,508.304,79,4,10,1987
0219.c1.txt,1379.31,974.801,563.66,484.085,72,16,6,1508
0238.c1.txt,1092.896,1163.154,398.126,288.837,61,3,3,1281
0501.c1.txt,1231.934,1025.465,461.115,426.703,54,7,6,1453
0502.c1.txt,1321.839,1219.668,434.227,408.685,40,22,26,1566
