Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0106.b7.txt,0.0171,0.0122,0.0081,0.005,0,0,0
0107.b7.txt,0.0145,0.0096,0.0092,0.0048,0,1,11
0137.b7.txt,0.0212,0.0097,0.0082,0.0035,7,9,2
0151.b7.txt,0.0153,0.0085,0.0072,0.0035,2,4,2
0157.b7.txt,0.0108,0.0104,0.0075,0.005,7,6,2
0158.b7.txt,0.0157,0.0105,0.0063,0.0042,2,0,0
0178.b7.txt,0.0246,0.0127,0.0118,0.0089,6,2,6
0185.b7.txt,0.0179,0.0114,0.0081,0.0061,5,0,0
0186.b7.txt,0.0144,0.0092,0.0062,0.0054,0,5,1
0198.b7.txt,0.0165,0.0088,0.0066,0.0041,0,1,2
0219.b7.txt,0.0186,0.0089,0.009,0.0052,1,1,0
0223.b7.txt,0.0177,0.0093,0.0077,0.004,0,5,1
0224.b7.txt,0.0153,0.0075,0.0069,0.0023,2,1,1
0238.b7.txt,0.0158,0.0111,0.0067,0.0052,2,4,2
0318.b7.txt,0.0157,0.0069,0.0062,0.0039,1,1,0
