Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0103.b2.txt,2075.472,1096.137,566.038,377.358,4,2,3,1113
0134.b2.txt,1720.613,928.45,1192.504,630.324,9,0,2,1174
0139.b2.txt,1540.154,1243.124,902.09,473.047,2,0,11,909
0140.b2.txt,1969.697,1000.0,595.96,515.152,7,15,2,990
0165.b2.txt,1912.422,1018.767,759.607,303.843,1,0,0,1119
0200.b2.txt,1761.905,1142.857,1028.571,600.0,4,2,18,1050
0300.b2.txt,1739.13,1322.464,824.275,371.377,2,2,5,1104
0308.b2.txt,1563.786,1012.346,913.58,641.975,6,5,15,1215
0310.b2.txt,2308.478,949.949,510.725,449.438,7,9,2,979
0313.b2.txt,1511.355,1041.504,877.056,477.682,7,26,7,1277
1003.b2.txt,1800.263,1208.936,801.577,381.078,7,2,3,761
1006.b2.txt,1810.437,1011.715,638.978,447.284,0,4,3,939
1006.b2i.txt,1810.437,1011.715,638.978,447.284,0,4,3,939
1021.b2.txt,1981.982,1036.036,639.64,351.351,17,1,3,1110
1023.b2.txt,1508.571,948.571,708.571,480.0,21,4,15,875
1057.b2.txt,1783.825,1126.228,710.506,491.308,1,3,3,1323
1097.b2.txt,1762.048,1001.506,685.241,527.108,5,2,5,1328
1100.b2.txt,1506.373,1066.049,741.599,463.499,10,0,4,863
1104.b2.txt,1863.905,1074.951,552.268,473.373,10,1,1,1014
1104.b2i.txt,1863.905,1074.951,552.268,473.373,10,1,1,1014
1112.b2.txt,1873.016,928.571,587.302,349.206,31,8,4,1260
1508.b2.txt,1447.747,1351.87,604.027,316.395,13,1,2,1043
1520.b2.txt,1744.574,1202.003,617.696,425.71,18,7,3,1198
1528.b2.txt,1699.64,1052.158,827.338,287.77,20,1,0,1112
1532.b2.txt,1476.015,987.085,913.284,507.38,14,25,18,1084
1533.b2.txt,1795.438,1206.77,713.76,301.692,8,5,5,1359
1541.b2.txt,2006.336,876.452,897.571,601.901,11,1,1,947
2012.b2.txt,1828.074,892.274,761.697,217.628,8,9,2,919
2019.b2.txt,1638.142,1173.594,806.846,562.347,1,3,1,818
2028.b2.txt,1894.737,1298.246,807.018,362.573,2,2,0,855
2028.b2i.txt,1872.832,1283.237,797.688,358.382,2,2,0,865
2030.b2.txt,1568.862,1377.246,598.802,562.874,0,1,0,835
2032.b2.txt,1937.87,1065.089,769.231,369.822,2,1,5,676
2034.b2.txt,1773.7,1055.046,535.168,519.878,4,7,7,654
2066.b2.txt,2120.823,1169.666,912.596,501.285,3,1,10,778
2070.b2.txt,1641.939,1186.944,731.949,494.56,9,0,4,1011
2070.b2i.txt,1637.081,1183.432,729.783,493.097,10,0,4,1014
3013.b2.txt,1580.217,1001.206,687.575,398.07,16,4,14,829
3020.b2.txt,1796.644,1095.755,552.813,256.663,11,0,3,1013
3501.b2.txt,1700.753,904.198,613.563,269.107,8,6,11,929
3503.b2.txt,2111.872,947.489,764.84,353.881,11,4,10,876
3504.b2.txt,2061.361,1083.413,671.141,325.983,8,19,3,1043
3505.b2.txt,1869.565,1184.783,750.0,423.913,5,2,1,920
3506.b2.txt,1808.279,1067.538,588.235,413.943,12,9,1,918
3507.b2.txt,1676.397,984.153,950.792,366.972,13,3,3,1199
3508.b2.txt,2039.474,1085.526,838.816,345.395,6,5,1,608
3509.b2.txt,1910.112,1011.236,786.517,510.725,7,5,4,979
3511.b2.txt,1930.467,1116.194,576.395,402.562,5,5,23,1093
3518.b2.txt,1287.028,1287.028,572.012,316.65,19,9,21,979
3519.b2.txt,1648.352,1208.791,668.498,384.615,6,9,0,1092
3520.b2.txt,1996.805,1078.275,686.901,351.438,7,1,4,1252
3522.b2.txt,1936.709,1063.291,797.468,544.304,10,1,0,790
3523.b2.txt,2279.608,1175.423,694.568,329.475,3,8,11,1123
3525.b2.txt,1805.393,1113.716,820.633,410.317,6,21,5,853
4012.b2.txt,1968.811,1072.125,643.275,467.836,0,1,0,1026
4036.b2.txt,1689.624,982.553,771.35,440.771,19,24,9,1089
4038.b2.txt,1964.097,1341.077,527.983,506.864,9,0,5,947
