Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0101.a5.txt,2040.161,1084.337,763.052,409.639,6,1,1,1245
0102.a5.txt,1657.459,1033.938,876.085,268.35,12,3,5,1267
0103.a5.txt,1844.485,1103.074,623.87,388.788,6,5,7,1106
0104.a5.txt,1897.482,935.252,638.489,368.705,7,5,6,1112
0105.a5.txt,1530.516,1042.254,553.991,582.16,2,3,3,1065
0106.a5.txt,1996.143,964.32,848.602,655.738,2,0,0,1037
0107.a5.txt,2000.0,1220.779,779.221,545.455,3,6,0,1155
0108.a5.txt,2099.922,1061.671,765.027,327.869,8,2,6,1281
0111.a5.txt,1669.776,1044.776,680.97,307.836,9,12,4,1072
0112.a5.txt,2171.582,1081.323,643.432,580.876,4,3,2,1119
0115.a5.txt,1329.879,1079.447,751.295,483.592,16,1,2,1158
0119.a5.txt,1837.748,1092.715,736.755,231.788,9,5,3,1208
0121.a5.txt,1543.536,1029.024,613.456,382.586,19,4,6,1516
0122.a5.txt,1757.36,1025.87,722.569,365.745,7,3,1,1121
0125.a5.txt,2228.626,1008.646,883.766,480.307,1,1,2,1041
0128.a5.txt,1945.789,1132.623,832.527,484.027,1,3,0,1033
0130.a5.txt,1658.73,928.571,738.095,285.714,26,9,1,1260
0134.a5.txt,1752.17,986.582,710.339,473.56,20,14,7,1267
0137.a5.txt,1797.02,1061.453,577.281,456.238,12,18,11,1074
0139.a5.txt,1340.872,1195.477,525.04,315.024,28,3,6,1238
0140.a5.txt,1716.35,1029.81,632.34,280.036,14,9,12,1107
0149.a5.txt,2579.365,1238.095,825.397,365.079,1,3,2,1260
0157.a5.txt,1737.213,1172.84,634.921,590.829,6,3,0,1134
0158.a5.txt,1580.334,1202.809,763.828,544.337,19,1,4,1139
0159.a5.txt,2112.182,1060.473,964.067,333.041,0,1,1,1141
0161.a5.txt,2190.784,881.164,970.089,258.69,4,5,3,1237
0163.a5.txt,2313.546,936.073,882.801,433.79,1,4,0,1314
0165.a5.txt,2054.196,987.762,830.42,288.462,5,3,4,1144
0171.a5.txt,1572.464,949.275,521.739,384.058,33,4,2,1380
0178.a5.txt,1519.674,1017.639,793.758,461.33,11,7,6,1474
0182.a5.txt,2265.06,1076.305,738.956,425.703,10,5,3,1245
0185.a5.txt,1805.792,1047.7,724.02,221.465,4,16,3,1174
0186.a5.txt,1959.35,967.48,886.179,398.374,6,1,0,1230
0187.a5.txt,2282.609,1105.072,778.986,362.319,5,2,5,1104
0188.a5.txt,1559.348,1055.081,744.763,457.719,8,2,2,1289
0192.a5.txt,1658.206,1116.751,651.438,439.932,15,2,7,1182
0193.a5.txt,2187.769,1076.658,835.487,396.21,1,1,1,1161
0197.a5.txt,1505.289,886.9,374.288,333.605,37,16,15,1229
0198.a5.txt,2137.998,1010.69,806.608,369.291,2,0,0,1029
0199.a5.txt,1814.709,993.314,773.639,382.044,7,6,1,1047
0200.a5.txt,1478.261,1165.217,695.652,426.087,11,2,5,1150
0206.a5.txt,1480.879,951.993,707.893,358.015,10,0,6,1229
0214.a5.txt,1628.319,1097.345,663.717,309.735,18,4,3,1130
0215.a5.txt,1762.392,952.006,558.615,283.242,39,22,9,1271
0219.a5.txt,2063.063,981.982,891.892,603.604,3,2,3,1110
0222.a5.txt,1771.539,1151.985,696.999,416.263,0,12,1,1033
0223.a5.txt,1586.94,1032.65,675.778,387.244,6,15,6,1317
0227.a5.txt,1625.544,928.882,761.974,348.331,25,2,1,1378
0234.a5.txt,1588.386,922.289,512.383,333.049,14,3,4,1171
0238.a5.txt,1898.197,1145.281,668.081,328.738,3,10,0,943
1003.a5.txt,2204.651,1041.86,716.279,241.86,5,0,0,1075
1005.a5.txt,1798.45,1000.0,581.395,356.589,21,21,10,1290
1006.a5.txt,1605.05,1018.936,658.251,405.771,14,4,2,1109
1008.a5.txt,1921.85,1020.734,877.193,430.622,13,2,1,1254
1010.a5.txt,2230.696,877.026,886.559,305.052,9,8,10,1049
1012.a5.txt,1975.0,1025.0,741.667,325.0,17,1,0,1200
1013.a5.txt,1675.393,1125.654,689.354,296.684,14,4,17,1146
1014.a5.txt,1851.852,1012.346,790.123,353.909,21,3,4,1215
1018.a5.txt,2037.997,958.549,898.1,276.339,10,3,0,1158
1021.a5.txt,1824.062,1138.422,659.767,401.035,4,5,6,773
1022.a5.txt,2377.122,1152.815,1054.513,455.764,1,0,0,1119
1023.a5.txt,1647.242,994.561,675.991,435.12,17,3,3,1287
1032.a5.txt,2159.468,1162.791,664.452,573.09,0,1,1,1204
1034.a5.txt,1813.525,1014.344,747.951,379.098,8,3,9,976
1036.a5.txt,1384.217,944.373,659.767,310.479,15,1,4,773
1041.a5.txt,1636.675,865.467,719.794,437.018,11,7,6,1167
1043.a5.txt,1473.409,1115.955,627.724,540.541,12,4,0,1147
1048.a5.txt,2151.703,1006.192,673.375,410.217,3,4,6,1292
1050.a5.txt,1609.658,1106.64,764.588,482.897,6,10,1,994
1055.a5.txt,1799.816,1065.197,1046.832,459.137,5,15,1,1089
1057.a5.txt,1370.31,1207.178,611.746,342.577,9,1,2,1226
1061.a5.txt,1457.286,1072.027,586.265,234.506,24,0,3,1194
1062.a5.txt,1488.335,868.866,772.325,450.523,14,3,6,1243
1064.a5.txt,2182.7,1236.863,606.306,582.053,3,2,2,1237
1065.a5.txt,1816.68,966.144,726.672,388.109,14,2,4,1211
1067.a5.txt,1746.167,1064.736,638.842,340.716,19,7,5,1174
1068.a5.txt,1963.636,1309.091,727.273,509.091,2,7,2,825
1070.a5.txt,1354.545,1190.909,700.0,327.273,18,2,2,1100
1072.a5.txt,1390.335,1055.762,542.751,460.967,12,29,8,1345
1074.a5.txt,1906.475,1070.144,845.324,530.576,7,4,1,1112
1081.a5.txt,2037.915,1071.09,900.474,417.062,2,4,4,1055
1088.a5.txt,1358.131,1115.917,856.401,320.069,10,4,0,1156
1094.a5.txt,1482.48,1347.709,548.068,251.572,17,4,2,1113
1095.a5.txt,1487.314,1041.12,813.648,419.948,8,13,1,1143
1099.a5.txt,1540.448,1110.155,611.015,335.628,13,8,0,1162
1100.a5.txt,1587.031,1117.747,571.672,324.232,27,20,14,1172
1102.a5.txt,2066.487,1006.289,691.824,314.465,15,18,2,1113
1104.a5.txt,1669.463,989.933,578.859,444.631,22,15,12,1192
1112.a5.txt,1993.958,1087.613,1019.637,521.148,6,1,1,1324
1121.a5.txt,1509.158,1062.271,673.993,505.495,28,21,8,1365
2005.a5.txt,1921.676,1120.219,619.308,336.976,19,14,11,1098
2007.a5.txt,1534.155,873.46,705.487,559.91,8,11,2,893
2012.a5.txt,2037.736,830.189,716.981,369.811,14,3,4,1325
2014.a5.txt,2200.622,1018.663,832.037,458.787,5,2,3,1286
2015.a5.txt,1845.688,945.537,763.994,332.829,22,16,13,1322
2019.a5.txt,1804.444,1164.444,666.667,364.444,15,0,6,1125
2020.a5.txt,2007.011,911.481,815.074,254.163,31,21,6,1141
2021.a5.txt,1753.403,960.769,944.756,344.275,18,15,8,1249
2026.a5.txt,1791.045,839.552,736.94,438.433,5,4,2,1072
2028.a5.txt,2038.435,912.835,734.386,439.259,17,4,1,1457
2032.a5.txt,1687.764,902.954,987.342,337.553,7,0,3,1185
2034.a5.txt,1714.939,884.146,609.756,373.476,26,21,13,1312
2035.a5.txt,1801.872,889.236,663.027,468.019,15,2,0,1282
2036.a5.txt,1816.77,1125.776,621.118,442.547,25,21,4,1288
2039.a5.txt,1277.429,987.461,736.677,423.197,33,3,4,1276
2040.a5.txt,2001.711,975.192,846.878,333.618,15,5,7,1169
2045.a5.txt,1915.468,1034.173,737.41,323.741,9,13,2,1112
2048.a5.txt,1478.979,765.766,1036.036,322.823,22,2,5,1332
2049.a5.txt,2249.208,1129.884,1098.205,337.909,5,4,0,947
2050.a5.txt,1669.408,871.711,682.566,460.526,8,24,9,1216
2058.a5.txt,1436.252,937.02,622.12,345.622,26,2,5,1302
2066.a5.txt,2134.725,1148.008,844.402,275.142,6,3,0,1054
2071.a5.txt,2283.907,1061.138,892.481,400.562,2,4,1,1423
