Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b3.txt,0.0442,0.0133,0.014,0.0058,32,13,42
0105.b3.txt,0.0164,0.0102,0.009,0.0047,9,7,17
0122.b3.txt,0.027,0.0154,0.0116,0.0051,17,11,39
0130.b3.txt,0.0307,0.0148,0.0135,0.0083,23,22,15
0133.b3.txt,0.0287,0.0169,0.0123,0.0079,78,37,22
0134.b3.txt,0.0269,0.0162,0.0139,0.014,15,3,15
0139.b3.txt,0.0335,0.0143,0.0143,0.0062,20,3,9
0140.b3.txt,0.0321,0.0077,0.0069,0.0033,16,6,2
0165.b3.txt,0.052,0.0197,0.019,0.0075,70,16,39
0171.b3.txt,0.0259,0.0126,0.013,0.005,15,36,20
0200.b3.txt,0.0269,0.0118,0.0127,0.0064,21,2,5
0300.b3.txt,0.0321,0.017,0.0162,0.0059,32,19,54
0303.b3.txt,0.0067,0.0034,0.0036,0.0019,2,1,2
0304.b3.txt,0.0236,0.0116,0.0085,0.0061,31,7,9
0307.b3.txt,0.0294,0.0134,0.014,0.0042,16,21,25
0308.b3.txt,0.0278,0.0142,0.0133,0.0111,13,3,6
0310.b3.txt,0.0426,0.0175,0.0196,0.0137,26,30,15
0313.b3.txt,0.0431,0.0137,0.0193,0.007,5,19,16
1023.b3.txt,0.0196,0.0113,0.012,0.007,14,9,18
1057.b3.txt,0.062,0.0326,0.0223,0.0126,28,10,15
1066.b3.txt,0.0322,0.0167,0.0181,0.0081,10,1,16
1069.b3.txt,0.0496,0.024,0.0222,0.0135,45,79,34
1082.b3.txt,0.0648,0.0208,0.0273,0.0098,13,6,17
1097.b3.txt,0.0326,0.0172,0.0186,0.0109,19,16,10
1100.b3.txt,0.0224,0.0103,0.0091,0.0042,20,9,4
1102.b3.txt,0.0228,0.0096,0.0125,0.0059,4,28,4
1112.b3.txt,0.0197,0.011,0.0102,0.0057,12,3,11
1508.b3.txt,0.0322,0.0182,0.0137,0.0066,80,18,24
1520.b3.txt,0.0259,0.0171,0.0117,0.0063,33,14,66
1532.b3.txt,0.0338,0.0176,0.0138,0.0076,20,30,24
1533.b3.txt,0.0423,0.0221,0.0175,0.0084,15,4,23
1534.b3.txt,0.0378,0.0185,0.0216,0.0111,20,7,9
1536.b3.txt,0.034,0.0139,0.0127,0.0087,16,28,7
2018.b3.txt,0.0308,0.0177,0.0116,0.0051,16,5,14
2034.b3.txt,0.027,0.0217,0.0115,0.0075,18,9,16
