Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0100.a2.txt,2093.023,1297.43,795.594,354.957,1,1,2,817
0101.a2.txt,2059.202,952.381,553.411,720.721,0,3,0,777
0102.a2.txt,1830.144,1136.364,645.933,681.818,0,6,1,836
0103.a2.txt,1925.837,1220.096,1016.746,394.737,0,0,1,836
0104.a2.txt,2074.534,981.366,732.919,335.404,4,1,1,805
0105.a2.txt,1753.494,1257.942,876.747,584.498,0,1,2,787
0106.a2.txt,1668.667,1128.451,732.293,540.216,0,14,1,833
0107.a2.txt,1599.54,1334.868,747.986,540.852,2,0,3,869
0109.a2.txt,1601.05,1194.226,616.798,367.454,3,1,2,762
0110.a2.txt,2242.038,1299.363,573.248,535.032,1,5,1,785
0111.a2.txt,1907.514,1387.283,505.78,679.191,0,5,0,692
0112.a2.txt,2197.415,1022.327,775.558,481.786,0,2,1,851
0113.a2.txt,1991.051,1185.682,794.183,637.584,0,3,0,894
0115.a2.txt,2172.237,1285.347,681.234,642.674,0,4,1,778
0118.a2.txt,1757.322,1436.541,850.767,432.357,1,0,1,717
0119.a2.txt,1789.737,1301.627,675.845,413.016,0,9,0,799
0120.a2.txt,1879.022,1209.781,759.331,540.541,0,8,0,777
0121.a2.txt,2037.253,768.335,745.052,419.092,2,27,1,859
0122.a2.txt,1849.791,1070.932,723.227,472.879,1,3,6,719
0125.a2.txt,1797.101,1159.42,1159.42,420.29,0,0,1,690
0127.a2.txt,1991.215,1156.662,834.553,717.423,1,0,1,683
0128.a2.txt,1838.407,1007.026,749.415,562.061,2,10,4,854
0130.a2.txt,1799.569,1002.155,635.776,506.466,4,4,0,928
0131.a2.txt,2237.33,1174.289,593.325,568.603,0,0,1,809
0133.a2.txt,1798.631,997.067,948.192,518.084,0,0,1,1023
0134.a2.txt,1766.871,822.086,944.785,736.196,0,3,0,815
0135.a2.txt,1837.209,1023.256,883.721,511.628,1,6,3,860
0136.a2.txt,1995.074,1182.266,862.069,307.882,0,0,0,812
0137.a2.txt,1684.46,1221.827,593.12,593.12,0,5,1,843
0138.a2.txt,1853.282,1261.261,733.591,450.45,0,0,1,777
0139.a2.txt,1787.634,1196.237,739.247,577.957,0,1,0,744
0140.a2.txt,1770.092,1149.542,824.008,447.609,0,12,0,983
0142.a2.txt,2280.534,1135.496,811.069,381.679,0,0,0,1048
0143.a2.txt,1969.697,1136.364,919.913,422.078,0,1,0,924
0146.a2.txt,1588.983,1430.085,677.966,497.881,0,1,0,944
0148.a2.txt,1936.989,1108.518,525.088,431.739,0,14,9,857
0149.a2.txt,1984.469,1242.45,647.11,707.506,0,1,5,1159
0150.a2.txt,1627.297,1391.076,643.045,459.318,0,0,0,762
0155.a2.txt,2033.248,1265.985,1138.107,664.962,0,0,1,782
0156.a2.txt,1782.178,1074.965,693.069,509.194,1,0,0,707
0157.a2.txt,1168.675,1421.687,506.024,590.361,0,2,2,830
0158.a2.txt,1677.337,1267.606,563.38,717.029,0,1,0,781
0159.a2.txt,1802.885,1057.692,829.327,745.192,0,3,0,832
0161.a2.txt,2107.728,1135.831,679.157,526.932,0,4,12,854
0162.a2.txt,2000.0,1220.779,714.286,363.636,0,1,0,770
0163.a2.txt,1677.419,967.742,941.935,735.484,0,1,0,775
0165.a2.txt,2014.388,978.417,776.978,474.82,3,8,1,695
0167.a2.txt,1757.246,942.029,833.333,606.884,0,1,1,1104
0168.a2.txt,2293.054,1284.491,789.724,437.678,2,1,0,1051
0169.a2.txt,1826.531,1132.653,1244.898,530.612,1,3,1,980
0171.a2.txt,1815.92,1057.214,796.02,460.199,0,2,1,804
0172.a2.txt,2117.647,1111.111,627.451,496.732,2,0,0,765
0173.a2.txt,2174.914,828.539,1185.27,471.807,4,5,1,869
0174.a2.txt,2253.363,1154.709,908.072,257.848,0,0,2,892
0175.a2.txt,1794.872,1371.795,628.205,435.897,0,1,1,780
0176.a2.txt,2152.406,935.829,735.294,427.807,0,3,0,748
0177.a2.txt,1502.825,994.35,836.158,576.271,0,5,1,885
0178.a2.txt,1948.052,1118.881,949.051,699.301,1,0,0,1001
0179.a2.txt,1984.127,1203.704,992.063,396.825,0,3,0,756
0180.a2.txt,1988.889,1177.778,644.444,611.111,1,1,0,900
0182.a2.txt,1647.255,981.697,848.586,457.571,4,16,33,1202
0185.a2.txt,1732.852,1131.167,589.651,445.247,0,0,0,831
0186.a2.txt,1627.329,1316.77,633.54,645.963,0,0,0,805
0187.a2.txt,1786.148,1057.108,935.601,388.821,5,7,0,823
0188.a2.txt,1591.981,1061.321,860.849,448.113,1,2,2,848
0189.a2.txt,1704.289,891.648,756.208,440.181,1,4,3,886
0190.a2.txt,1238.938,1352.718,530.973,657.396,0,0,0,791
0191.a2.txt,1808.874,1285.552,659.841,489.192,0,7,12,879
0192.a2.txt,1910.903,1184.056,550.996,633.06,1,0,1,853
0193.a2.txt,2140.505,1218.441,845.225,417.124,0,0,4,911
0194.a2.txt,1900.621,1142.857,919.255,372.671,0,3,2,805
0195.a2.txt,1250.0,1067.961,570.388,485.437,1,7,25,824
0196.a2.txt,1988.571,1257.143,742.857,320.0,0,0,0,875
0197.a2.txt,1835.687,949.936,757.381,603.338,1,0,0,779
0198.a2.txt,1853.448,1020.115,790.23,359.195,1,13,0,696
0199.a2.txt,1918.317,1101.485,878.713,358.911,0,1,0,808
0200.a2.txt,1636.156,1315.789,697.941,560.641,0,13,18,874
0201.a2.txt,1450.068,834.473,752.394,328.317,0,5,9,731
0202.a2.txt,2102.689,1369.193,782.396,342.298,0,1,1,818
0203.a2.txt,1716.687,936.375,1032.413,588.235,0,1,1,833
0204.a2.txt,1933.622,1111.111,649.351,447.33,0,0,1,693
0205.a2.txt,1993.834,1027.749,822.199,452.21,3,1,5,973
0206.a2.txt,1850.9,1066.838,706.941,552.699,1,12,0,778
0207.a2.txt,1823.056,1260.054,710.456,482.574,0,1,0,746
0208.a2.txt,1680.365,1315.068,739.726,557.078,6,0,0,1095
0209.a2.txt,2305.795,887.793,752.158,271.27,2,2,0,811
0213.a2.txt,1752.086,1442.193,870.083,548.272,0,0,1,839
0214.a2.txt,1910.755,961.098,869.565,594.966,1,8,1,874
0215.a2.txt,1647.94,1410.737,961.298,461.923,0,0,0,801
0216.a2.txt,1636.156,1121.281,938.215,263.158,0,2,1,874
0218.a2.txt,2266.01,1169.951,714.286,332.512,0,2,0,812
0219.a2.txt,1539.379,1276.85,608.592,644.391,0,2,0,838
0221.a2.txt,2136.182,1041.389,507.343,320.427,0,0,2,749
0222.a2.txt,1933.419,1165.173,614.597,396.927,2,2,2,781
0223.a2.txt,1921.08,1017.653,976.116,259.605,0,27,8,963
0224.a2.txt,1724.942,1095.571,454.545,361.305,16,3,1,858
0226.a2.txt,1827.411,1116.751,812.183,571.066,0,1,0,788
0227.a2.txt,1869.369,900.901,968.468,540.541,0,5,0,888
0231.a2.txt,2073.31,1134.021,561.283,423.826,1,0,2,873
0232.a2.txt,1576.293,1261.034,706.179,718.789,0,1,0,793
0234.a2.txt,2010.309,940.722,940.722,631.443,2,11,2,776
0235.a2.txt,2260.87,1242.236,906.832,484.472,0,0,2,805
0236.a2.txt,1527.446,1121.718,835.322,501.193,0,1,0,838
0237.a2.txt,1937.244,736.698,627.558,368.349,3,3,13,733
0238.a2.txt,1837.5,1275.0,575.0,500.0,0,0,0,800
1002.a2.txt,1741.706,1315.166,627.962,402.844,0,1,2,844
1003.a2.txt,1769.231,1065.934,824.176,384.615,6,2,1,910
1005.a2.txt,1672.862,975.836,985.13,566.914,30,1,6,1076
1006.a2.txt,1665.293,1055.235,708.986,445.177,1,13,2,1213
1007.a2.txt,1981.132,1250.0,589.623,400.943,0,3,6,424
1008.a2.txt,1828.087,1150.121,677.966,508.475,0,4,1,826
1009.a2.txt,2002.342,1182.67,690.867,316.159,0,1,0,854
1010.a2.txt,1990.291,990.291,941.748,466.019,0,4,2,1030
1012.a2.txt,1946.565,1132.316,954.198,445.293,0,1,1,786
1013.a2.txt,1694.712,1105.769,817.308,576.923,0,0,1,832
1014.a2.txt,1861.361,1283.697,821.566,410.783,1,0,0,779
1016.a2.txt,1657.754,1350.267,628.342,508.021,0,2,1,748
1017.a2.txt,1793.103,887.931,956.897,500.0,8,11,10,1160
1018.a2.txt,2045.952,1094.092,951.86,371.991,0,3,0,914
1019.a2.txt,2282.158,719.225,1099.585,338.866,1,2,1,1446
1020.a2.txt,1719.493,1251.981,451.664,530.903,0,0,3,1262
1021.a2.txt,1729.598,1071.864,742.996,365.408,3,2,1,821
1022.a2.txt,2220.888,1296.519,540.216,396.158,0,15,0,833
1023.a2.txt,1842.105,1016.746,765.55,777.512,6,1,0,836
1026.a2.txt,1485.758,1393.38,608.16,284.834,0,5,1,1299
1029.a2.txt,2131.783,943.152,749.354,413.437,0,2,15,774
1031.a2.txt,2142.857,1000.0,696.429,321.429,0,3,4,560
1032.a2.txt,1383.875,1239.471,421.179,625.752,3,4,0,831
1034.a2.txt,1395.881,1029.748,812.357,457.666,0,0,4,874
1036.a2.txt,1679.245,1264.151,490.566,566.038,0,0,4,530
1039.a2.txt,860.849,1721.698,471.698,742.925,0,0,3,848
1041.a2.txt,1680.877,1388.551,633.374,475.03,2,0,3,821
1043.a2.txt,1369.697,1248.485,521.212,569.697,0,1,10,825
