Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b5.txt,0.0338,0.0208,0.0163,0.0071,33,1,1
0140.b5.txt,0.0218,0.0159,0.0088,0.0077,58,0,2
0165.b5.txt,0.0241,0.0136,0.0094,0.0056,22,0,0
0200.b5.txt,0.027,0.016,0.0111,0.0084,20,1,2
0300.b5.txt,0.0254,0.0117,0.0108,0.0059,29,5,11
0310.b5.txt,0.0244,0.0162,0.0125,0.0081,15,3,2
1003.b5.txt,0.0217,0.0161,0.0076,0.006,34,2,3
1021.b5.txt,0.0277,0.0161,0.0092,0.0046,18,2,4
1023.b5.txt,0.023,0.0207,0.0112,0.0099,56,2,2
1057.b5.txt,0.0274,0.0171,0.0139,0.0079,38,0,1
1100.b5.txt,0.0245,0.0152,0.0099,0.0047,27,2,4
1508.b5.txt,0.0189,0.018,0.0063,0.0067,68,1,5
1532.b5.txt,0.0196,0.0162,0.0052,0.0043,22,0,1
1533.b5.txt,0.0364,0.0293,0.0117,0.0103,61,2,5
2019.b5.txt,0.0175,0.0145,0.0063,0.0042,32,0,3
2028.b5.txt,0.0229,0.0234,0.0081,0.0067,42,1,30
2032.b5.txt,0.0192,0.0243,0.0104,0.01,39,3,17
2034.b5.txt,0.0201,0.0127,0.0099,0.0058,32,2,3
2066.b5.txt,0.0159,0.0172,0.0065,0.0045,54,0,3
3018.b5.txt,0.0224,0.0155,0.0108,0.0081,32,2,27
3020.b5.txt,0.0204,0.0099,0.0095,0.0034,28,1,2
