Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b1.txt,0.0187,0.0093,0.0088,0.0022,2,27,3
0105.b1.txt,0.0146,0.0075,0.0049,0.0062,0,1,1
0122.b1.txt,0.0182,0.0103,0.0065,0.0044,0,1,0
0134.b1.txt,0.0178,0.009,0.0072,0.0059,0,0,0
0139.b1.txt,0.0165,0.0106,0.0065,0.004,0,1,0
0140.b1.txt,0.0175,0.0083,0.0059,0.0044,0,9,0
0165.b1.txt,0.0183,0.0087,0.0052,0.0054,9,2,0
0171.b1.txt,0.0161,0.0078,0.0049,0.0045,3,2,0
0200.b1.txt,0.0177,0.0085,0.0063,0.0066,0,4,3
0300.b1.txt,0.0154,0.0085,0.0108,0.0053,19,1,3
0304.b1.txt,0.0111,0.0082,0.0047,0.0039,1,0,0
0307.b1.txt,0.0187,0.0077,0.0063,0.0026,18,6,3
0308.b1.txt,0.02,0.0102,0.0097,0.0076,1,0,0
0310.b1.txt,0.0175,0.0083,0.0061,0.0055,5,1,4
0313.b1.txt,0.0158,0.0098,0.006,0.0068,0,6,1
1003.b1.txt,0.0186,0.0086,0.0087,0.0041,6,2,6
1006.b1.txt,0.0174,0.0082,0.0072,0.0045,0,10,8
1006.b1i.txt,0.0174,0.0082,0.0072,0.0045,0,10,8
1012.b1.txt,0.0174,0.0077,0.0067,0.0032,0,0,0
1021.b1.txt,0.0151,0.008,0.0078,0.005,1,5,3
1023.b1.txt,0.0168,0.008,0.0101,0.0075,1,4,5
1057.b1.txt,0.0179,0.0127,0.0079,0.0072,0,6,0
1066.b1.txt,0.0163,0.0087,0.0092,0.0051,1,2,3
1069.b1.txt,0.0177,0.0091,0.0071,0.0068,6,3,10
1081.b1.txt,0.0182,0.0107,0.0073,0.0048,2,4,3
1097.b1.txt,0.0191,0.0094,0.0092,0.0058,12,7,2
1100.b1.txt,0.0149,0.0081,0.0086,0.0042,0,0,0
1102.b1.txt,0.0199,0.0085,0.0059,0.0041,0,4,4
1104.b1.txt,0.0168,0.0086,0.0065,0.005,5,9,7
1104.b1i.txt,0.0168,0.0086,0.0065,0.005,5,9,7
1112.b1.txt,0.0197,0.0108,0.0064,0.0056,0,2,0
1500.b1.txt,0.0185,0.0071,0.006,0.0044,1,9,7
1508.b1.txt,0.0177,0.0093,0.0061,0.0045,0,0,0
1520.b1.txt,0.0189,0.0092,0.0075,0.005,0,11,2
1523.b1.txt,0.0086,0.0084,0.006,0.0048,1,18,4
1528.b1.txt,0.0192,0.0104,0.0054,0.0026,10,8,5
1532.b1.txt,0.0177,0.0069,0.0068,0.0036,1,4,7
1541.b1.txt,0.0146,0.0059,0.0061,0.0042,1,6,1
2012.b1.txt,0.0157,0.009,0.0056,0.005,3,0,1
2012.b1i.txt,0.0157,0.009,0.0056,0.005,3,0,1
2018.b1.txt,0.0214,0.0094,0.0077,0.0047,0,5,8
2019.b1.txt,0.0128,0.0102,0.0065,0.0047,5,1,0
2028.b1.txt,0.0133,0.0096,0.0044,0.0049,7,0,0
2030.b1.txt,0.0135,0.0081,0.0077,0.0051,1,0,0
2032.b1.txt,0.0144,0.0098,0.006,0.0049,4,0,0
2034.b1.txt,0.014,0.0073,0.0047,0.0043,5,2,2
2036.b1.txt,0.0112,0.008,0.0051,0.0042,0,0,0
2042.b1.txt,0.0131,0.0094,0.0059,0.0049,2,1,7
2049.b1.txt,0.0194,0.009,0.0063,0.0047,5,1,4
2066.b1.txt,0.0137,0.01,0.0045,0.0029,18,2,0
2070.b1.txt,0.0171,0.009,0.0045,0.0037,3,4,2
2070.b1i.txt,0.017,0.009,0.0045,0.0037,3,4,2
3013.b1.txt,0.0179,0.0106,0.0085,0.0033,2,0,0
3018.b1.txt,0.0162,0.0103,0.0057,0.0044,2,0,1
3020.b1.txt,0.0184,0.0103,0.006,0.0039,1,5,6
3062.b1.txt,0.0191,0.0075,0.0083,0.0042,0,0,0
3501.b1.txt,0.0175,0.0074,0.007,0.0032,3,0,2
3503.b1.txt,0.0166,0.0056,0.0052,0.0026,0,5,0
3504.b1.txt,0.0169,0.0077,0.0058,0.0039,7,10,16
3505.b1.txt,0.0153,0.0108,0.0086,0.007,2,4,4
3506.b1.txt,0.0195,0.0079,0.0072,0.0027,0,4,7
3508.b1.txt,0.0177,0.0081,0.0106,0.0054,3,12,1
3509.b1.txt,0.0156,0.0093,0.0066,0.0052,1,4,7
3510.b1.txt,0.0176,0.0085,0.0091,0.0038,4,5,12
3511.b1.txt,0.0155,0.011,0.0083,0.0065,0,0,0
3513.b1.txt,0.0208,0.0122,0.0083,0.0031,3,3,5
3514.b1.txt,0.0143,0.007,0.006,0.0028,8,3,1
3515.b1.txt,0.0194,0.0089,0.0078,0.0043,2,1,1
3518.b1.txt,0.0155,0.0096,0.0052,0.0059,5,5,0
3519.b1.txt,0.0091,0.0061,0.0052,0.0029,0,30,4
3520.b1.txt,0.024,0.0089,0.0085,0.006,0,9,0
3522.b1.txt,0.0185,0.0104,0.0064,0.0042,3,6,4
3523.b1.txt,0.0197,0.01,0.0092,0.0047,0,3,9
3525.b1.txt,0.0112,0.0077,0.0047,0.0023,1,0,2
4012.b1.txt,0.0204,0.0088,0.0064,0.0061,1,2,0
4035.b1.txt,0.0119,0.0087,0.0047,0.0054,2,0,0
4036.b1.txt,0.0156,0.009,0.0088,0.0043,4,3,1
4038.b1.txt,0.0178,0.0084,0.0063,0.0054,0,2,0
4503.b1.txt,0.0149,0.0088,0.005,0.003,2,3,2
4507.b1.txt,0.0196,0.0113,0.0067,0.0044,2,12,1
