Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0235.a3.txt,0.0134,0.0092,0.0039,0.0029,1,2,1
0236.a3.txt,0.0124,0.0084,0.0039,0.0045,3,5,0
0237.a3.txt,0.0178,0.0076,0.0067,0.0028,0,3,1
0238.a3.txt,0.0146,0.0105,0.0047,0.0024,0,0,0
1003.a3.txt,0.0273,0.0143,0.009,0.0051,7,1,1
1005.a3.txt,0.0164,0.0092,0.0056,0.0039,0,1,0
1006.a3.txt,0.0168,0.0111,0.0071,0.0056,4,4,4
1007.a3.txt,0.0163,0.0094,0.0058,0.0049,0,1,0
1008.a3.txt,0.0152,0.0084,0.0049,0.0051,1,0,2
1009.a3.txt,0.0136,0.0083,0.0055,0.0025,0,4,1
1012.a3.txt,0.0158,0.0089,0.0055,0.0034,1,2,1
1013.a3.txt,0.0151,0.0085,0.0047,0.0031,1,1,1
1014.a3.txt,0.0156,0.0077,0.0045,0.0024,2,0,1
1017.a3.txt,0.0173,0.0113,0.0065,0.0051,0,0,0
1018.a3.txt,0.0143,0.0102,0.0051,0.0038,0,1,0
1020.a3.txt,0.0208,0.0117,0.0064,0.006,1,8,0
1021.a3.txt,0.0117,0.0086,0.0039,0.0029,1,2,2
1022.a3.txt,0.0163,0.0093,0.0051,0.0028,1,2,1
1023.a3.txt,0.0165,0.0094,0.0063,0.0079,3,0,0
1032.a3.txt,0.0131,0.0111,0.0067,0.0058,0,0,0
1034.a3.txt,0.0149,0.0079,0.0046,0.0023,1,2,1
1036.a3.txt,0.0083,0.0039,0.0029,0.0019,1,1,0
1041.a3.txt,0.0147,0.0104,0.0053,0.0033,9,1,1
1043.a3.txt,0.015,0.0087,0.0058,0.0053,5,7,2
1048.a3.txt,0.0205,0.0104,0.0047,0.0046,0,3,0
1049.a3.txt,0.0139,0.0102,0.0053,0.0045,0,0,0
1050.a3.txt,0.017,0.0086,0.0047,0.0035,1,2,0
1052.a3.txt,0.0143,0.0072,0.004,0.0022,1,1,0
1055.a3.txt,0.0129,0.0089,0.0052,0.0043,2,3,2
1057.a3.txt,0.0155,0.0104,0.0061,0.0046,1,0,1
1058.a3.txt,0.0216,0.01,0.005,0.0043,1,0,2
1060.a3.txt,0.0155,0.0093,0.006,0.0043,0,0,1
1061.a3.txt,0.013,0.0078,0.004,0.0032,0,10,0
1064.a3.txt,0.0177,0.0096,0.0053,0.0042,0,0,0
1065.a3.txt,0.0202,0.0116,0.007,0.0058,0,0,2
1066.a3.txt,0.017,0.01,0.0051,0.0042,0,0,1
1067.a3.txt,0.0109,0.0077,0.0055,0.0026,5,3,0
1068.a3.txt,0.0132,0.0088,0.0043,0.0031,0,2,0
1069.a3.txt,0.0166,0.0072,0.0055,0.0035,4,2,1
1070.a3.txt,0.016,0.0096,0.0047,0.0034,1,1,1
1072.a3.txt,0.0202,0.0093,0.007,0.0047,0,2,0
1074.a3.txt,0.0167,0.01,0.006,0.0039,0,4,0
1077.a3.txt,0.0181,0.0079,0.0062,0.0035,1,5,1
1081.a3.txt,0.0124,0.0066,0.006,0.004,8,3,1
1088.a3.txt,0.0187,0.0114,0.0059,0.0041,2,0,0
1090.a3.txt,0.0152,0.0092,0.0049,0.0037,9,0,1
1094.a3.txt,0.015,0.0104,0.0049,0.0039,1,1,0
1095.a3.txt,0.0165,0.0091,0.0047,0.0033,15,0,3
1097.a3.txt,0.0235,0.0115,0.0071,0.0039,1,4,1
1098.a3.txt,0.0174,0.0119,0.0042,0.0051,5,1,4
1099.a3.txt,0.0159,0.0072,0.005,0.0026,1,2,0
1100.a3.txt,0.0172,0.0082,0.0059,0.0034,0,1,0
1102.a3.txt,0.0166,0.0088,0.0043,0.0046,2,0,0
1103.a3.txt,0.0133,0.0097,0.0059,0.006,5,1,3
1104.a3.txt,0.0224,0.0126,0.0049,0.0058,3,2,0
1105.a3.txt,0.0164,0.0104,0.0057,0.0049,2,0,1
1106.a3.txt,0.0145,0.0089,0.0047,0.0031,3,2,1
1109.a3.txt,0.0115,0.0079,0.0043,0.0034,0,0,0
1112.a3.txt,0.0142,0.0106,0.0053,0.0044,1,2,0
1121.a3.txt,0.018,0.0094,0.0068,0.0046,10,4,2
2000.a3.txt,0.0177,0.0073,0.0051,0.0024,0,2,1
2005.a3.txt,0.0101,0.0077,0.0049,0.0046,0,1,2
2007.a3.txt,0.0133,0.008,0.0068,0.0038,1,1,1
2008.a3.txt,0.0138,0.0068,0.0058,0.0036,0,1,0
2011.a3.txt,0.0182,0.0084,0.0053,0.0029,1,0,0
2012.a3.txt,0.0176,0.0098,0.0083,0.006,0,1,2
2013.a3.txt,0.0168,0.0073,0.0066,0.0042,0,2,0
2014.a3.txt,0.0201,0.0105,0.0065,0.0064,4,0,0
2015.a3.txt,0.0162,0.0063,0.0043,0.0045,1,2,2
2016.a3.txt,0.0219,0.0091,0.0046,0.0032,10,4,6
2017.a3.txt,0.0158,0.0091,0.0056,0.0036,1,4,0
2018.a3.txt,0.0175,0.0113,0.0044,0.0026,1,0,0
2019.a3.txt,0.0165,0.0109,0.004,0.0028,4,2,0
2020.a3.txt,0.013,0.007,0.0059,0.004,0,1,1
2021.a3.txt,0.016,0.0094,0.0071,0.0046,3,0,0
2022.a3.txt,0.0125,0.008,0.0046,0.0039,0,0,1
2024.a3.txt,0.0161,0.0114,0.0053,0.0047,0,0,0
2026.a3.txt,0.0156,0.0102,0.0043,0.0041,0,4,0
2028.a3.txt,0.0136,0.0077,0.0058,0.0058,2,0,2
2030.a3.txt,0.0164,0.0098,0.0037,0.0029,1,0,0
2031.a3.txt,0.0138,0.011,0.0071,0.006,1,1,1
2032.a3.txt,0.0181,0.0089,0.0059,0.0039,0,0,0
2034.a3.txt,0.015,0.0095,0.0046,0.006,2,0,0
2035.a3.txt,0.0157,0.0082,0.0075,0.0047,0,3,0
2036.a3.txt,0.015,0.01,0.0046,0.0055,2,1,1
2038.a3.txt,0.0162,0.0091,0.0042,0.0034,1,2,2
2039.a3.txt,0.0182,0.0088,0.0056,0.0035,2,2,1
2040.a3.txt,0.0169,0.0081,0.0047,0.0016,1,1,2
2041.a3.txt,0.0176,0.0113,0.0052,0.0038,2,3,2
2042.a3.txt,0.0135,0.0094,0.0049,0.0047,2,1,0
2044.a3.txt,0.0139,0.0081,0.0042,0.0031,1,3,1
2045.a3.txt,0.0153,0.009,0.0058,0.0037,3,7,2
