Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0102.a4.txt,0.0163,0.0116,0.0059,0.0036,38,0,16
0103.a4.txt,0.0171,0.0204,0.0071,0.0051,36,1,4
0104.a4.txt,0.0158,0.0119,0.0069,0.0041,9,1,13
0105.a4.txt,0.0124,0.0101,0.0048,0.0064,9,1,3
0106.a4.txt,0.0141,0.0109,0.0073,0.0042,21,0,17
0107.a4.txt,0.0151,0.013,0.0065,0.0043,13,0,8
0108.a4.txt,0.0158,0.0143,0.0068,0.0043,36,5,3
0109.a4.txt,0.018,0.0123,0.0071,0.0042,16,1,7
0110.a4.txt,0.0155,0.01,0.0053,0.0029,3,0,5
0111.a4.txt,0.0135,0.0116,0.0064,0.0037,7,0,10
0112.a4.txt,0.0139,0.0115,0.0053,0.0038,7,1,20
0115.a4.txt,0.017,0.0077,0.0065,0.0047,16,5,24
0119.a4.txt,0.0145,0.0127,0.0044,0.0034,6,0,9
0120.a4.txt,0.0125,0.0136,0.0054,0.0033,9,0,10
0121.a4.txt,0.0164,0.0128,0.0071,0.0054,46,6,6
0122.a4.txt,0.0233,0.0147,0.0086,0.0057,10,5,6
0127.a4.txt,0.0104,0.0097,0.0045,0.0055,24,0,17
0128.a4.txt,0.0179,0.0108,0.0051,0.0038,3,1,7
0130.a4.txt,0.0177,0.0108,0.0052,0.0054,30,1,11
0134.a4.txt,0.0139,0.0106,0.0082,0.0037,16,0,0
0135.a4.txt,0.0154,0.0093,0.0066,0.0053,31,0,4
0136.a4.txt,0.0178,0.0149,0.0083,0.0042,23,0,4
0137.a4.txt,0.0161,0.009,0.0049,0.0036,14,0,8
0139.a4.txt,0.0124,0.0074,0.0068,0.0027,36,3,2
0140.a4.txt,0.0131,0.0097,0.0051,0.0041,16,0,15
0149.a4.txt,0.0231,0.0196,0.0115,0.0055,31,0,10
0156.a4.txt,0.0105,0.0107,0.0043,0.0038,9,0,12
0157.a4.txt,0.0132,0.0102,0.0068,0.0054,21,2,2
0158.a4.txt,0.015,0.0118,0.0073,0.0061,23,0,1
0159.a4.txt,0.0158,0.0108,0.0064,0.0047,10,0,8
0161.a4.txt,0.0167,0.0111,0.0075,0.0029,8,3,20
0165.a4.txt,0.0206,0.0112,0.0045,0.0044,7,1,17
0168.a4.txt,0.0237,0.0162,0.01,0.0075,53,0,21
0169.a4.txt,0.0135,0.0117,0.0066,0.0032,9,0,1
0171.a4.txt,0.0144,0.0103,0.0062,0.0035,35,1,4
0175.a4.txt,0.0149,0.0103,0.0068,0.0039,45,0,4
0176.a4.txt,0.0165,0.0103,0.0061,0.0055,33,2,3
0177.a4.txt,0.0127,0.0164,0.0086,0.006,10,2,10
0178.a4.txt,0.0208,0.0128,0.0085,0.0054,7,1,9
0179.a4.txt,0.0177,0.0106,0.0092,0.0022,34,1,2
0185.a4.txt,0.0157,0.0111,0.0068,0.0033,29,1,2
0186.a4.txt,0.0141,0.0115,0.005,0.0032,13,0,11
0187.a4.txt,0.0125,0.0121,0.0048,0.003,5,1,18
0188.a4.txt,0.0181,0.011,0.0066,0.005,12,0,2
0190.a4.txt,0.0128,0.0101,0.0046,0.0033,19,2,21
0192.a4.txt,0.0168,0.0113,0.0042,0.0034,2,2,10
0193.a4.txt,0.0212,0.0151,0.0066,0.0037,16,3,20
0194.a4.txt,0.0166,0.0117,0.0057,0.0039,9,2,11
0195.a4.txt,0.0164,0.0116,0.0039,0.0033,17,0,22
0196.a4.txt,0.016,0.0155,0.0075,0.0054,16,0,15
0197.a4.txt,0.0134,0.0117,0.0046,0.0039,33,0,5
0198.a4.txt,0.0116,0.0118,0.0044,0.0037,27,0,23
0199.a4.txt,0.0148,0.0086,0.0066,0.0037,29,4,7
0200.a4.txt,0.0141,0.0125,0.0053,0.0062,6,0,6
0202.a4.txt,0.0129,0.0136,0.0034,0.0018,7,0,12
0204.a4.txt,0.0127,0.0093,0.0046,0.0032,31,2,4
0205.a4.txt,0.0174,0.0132,0.0066,0.0058,36,1,9
0206.a4.txt,0.0141,0.0128,0.0078,0.0052,9,4,19
0208.a4.txt,0.0144,0.0197,0.0072,0.0081,38,0,4
0213.a4.txt,0.0167,0.0103,0.0049,0.0047,4,0,11
0214.a4.txt,0.0113,0.0119,0.005,0.0055,12,0,6
0215.a4.txt,0.0215,0.0118,0.0073,0.0039,12,0,11
0216.a4.txt,0.0168,0.0151,0.0055,0.0034,51,1,13
0218.a4.txt,0.0122,0.0115,0.0061,0.0021,29,0,1
0219.a4.txt,0.0116,0.0113,0.0073,0.0059,24,1,6
0222.a4.txt,0.0161,0.0117,0.0058,0.0041,5,1,5
0223.a4.txt,0.0137,0.0138,0.0046,0.0039,14,0,11
0224.a4.txt,0.0211,0.018,0.0107,0.0059,35,1,11
0227.a4.txt,0.0225,0.0145,0.0053,0.0042,35,0,10
0234.a4.txt,0.0152,0.0092,0.007,0.0049,10,1,11
0235.a4.txt,0.0138,0.011,0.0062,0.0028,22,0,14
0237.a4.txt,0.0141,0.0114,0.0069,0.0044,6,0,1
0238.a4.txt,0.0156,0.0138,0.005,0.0033,30,4,1
1003.a4.txt,0.0122,0.0068,0.004,0.0019,7,1,4
1005.a4.txt,0.0184,0.0116,0.0057,0.0046,28,2,4
1006.a4.txt,0.0202,0.0088,0.0084,0.0048,21,2,1
1008.a4.txt,0.0164,0.0101,0.0072,0.0056,20,1,3
1009.a4.txt,0.0153,0.0095,0.0051,0.0034,19,5,5
1010.a4.txt,0.0213,0.0103,0.0094,0.0059,45,3,3
1012.a4.txt,0.0174,0.0096,0.0078,0.0036,19,2,5
1013.a4.txt,0.0143,0.011,0.0068,0.0031,24,3,0
1014.a4.txt,0.0136,0.0125,0.0056,0.0038,28,0,3
1017.a4.txt,0.0202,0.0139,0.01,0.0072,5,0,19
1018.a4.txt,0.0185,0.0149,0.0079,0.0053,33,1,7
1021.a4.txt,0.012,0.0074,0.006,0.0033,31,1,0
1022.a4.txt,0.0175,0.0136,0.0064,0.0056,13,4,11
1023.a4.txt,0.0185,0.009,0.0092,0.0052,29,3,4
1032.a4.txt,0.0118,0.013,0.0069,0.0056,38,2,1
1034.a4.txt,0.0142,0.0105,0.0063,0.0054,34,0,5
1036.a4.txt,0.0136,0.0101,0.0055,0.0044,26,1,2
1043.a4.txt,0.0138,0.0107,0.0078,0.0049,46,0,1
1048.a4.txt,0.0159,0.0146,0.0059,0.0063,39,1,3
1049.a4.txt,0.0132,0.0125,0.0078,0.0048,24,1,3
1050.a4.txt,0.0126,0.0098,0.0064,0.0033,18,1,4
1052.a4.txt,0.0138,0.0114,0.0062,0.0047,39,0,1
1055.a4.txt,0.0154,0.0105,0.0063,0.0044,32,6,2
1057.a4.txt,0.0155,0.014,0.006,0.0048,13,4,24
1060.a4.txt,0.0159,0.0089,0.0097,0.0032,23,2,0
1061.a4.txt,0.0152,0.0123,0.0059,0.0039,30,2,4
1064.a4.txt,0.0183,0.0122,0.0072,0.0051,30,0,2
1065.a4.txt,0.0156,0.014,0.0084,0.0047,43,1,1
1066.a4.txt,0.0169,0.0095,0.0074,0.0029,27,1,2
1067.a4.txt,0.0134,0.0092,0.0056,0.004,13,5,0
1068.a4.txt,0.0178,0.008,0.0056,0.002,17,0,6
1070.a4.txt,0.0112,0.0113,0.0035,0.0061,11,4,5
1072.a4.txt,0.0192,0.0113,0.009,0.005,27,1,3
1074.a4.txt,0.0153,0.0115,0.0082,0.005,31,0,3
1076.a4.txt,0.0176,0.0119,0.0067,0.0033,28,1,1
1077.a4.txt,0.0166,0.0088,0.008,0.0051,18,4,6
1081.a4.txt,0.017,0.012,0.0066,0.0028,39,2,3
1088.a4.txt,0.0121,0.0121,0.0043,0.0032,39,1,1
1090.a4.txt,0.0165,0.0129,0.0076,0.0045,17,2,6
1094.a4.txt,0.0112,0.0112,0.0054,0.0056,28,2,1
1095.a4.txt,0.0136,0.0102,0.0061,0.0052,28,0,0
1098.a4.txt,0.0131,0.0104,0.0053,0.0046,23,0,5
1099.a4.txt,0.0149,0.0119,0.0067,0.0026,24,2,7
1100.a4.txt,0.0136,0.0106,0.0059,0.0041,6,2,23
1102.a4.txt,0.0142,0.0111,0.0081,0.0043,17,3,6
1103.a4.txt,0.015,0.0101,0.0055,0.0048,20,9,7
1104.a4.txt,0.0164,0.0099,0.0069,0.0034,51,3,4
1112.a4.txt,0.0151,0.0119,0.0064,0.0056,30,3,1
1121.a4.txt,0.0174,0.0121,0.0063,0.006,36,0,3
2000.a4.txt,0.0172,0.0092,0.0062,0.0043,38,0,2
2005.a4.txt,0.0186,0.0128,0.0058,0.0061,32,2,11
2007.a4.txt,0.0139,0.011,0.0047,0.0044,10,6,17
2008.a4.txt,0.0101,0.0094,0.0061,0.0039,31,0,1
2011.a4.txt,0.019,0.0098,0.0084,0.004,29,0,2
2012.a4.txt,0.0196,0.0123,0.008,0.0035,31,3,4
2014.a4.txt,0.0156,0.0122,0.0077,0.0046,41,1,1
2015.a4.txt,0.0147,0.0097,0.0056,0.0046,18,5,8
2017.a4.txt,0.017,0.0109,0.0064,0.0044,19,3,0
2018.a4.txt,0.0171,0.01,0.0072,0.0043,22,2,3
2019.a4.txt,0.0149,0.0124,0.0047,0.004,28,1,1
2020.a4.txt,0.0135,0.0122,0.0054,0.0038,38,1,1
2021.a4.txt,0.0144,0.0129,0.0048,0.0042,13,0,4
2022.a4.txt,0.0115,0.0096,0.0039,0.0028,24,5,2
2024.a4.txt,0.0133,0.0122,0.0055,0.0049,39,0,1
2028.a4.txt,0.0359,0.0234,0.0139,0.0072,28,6,3
2030.a4.txt,0.0162,0.0147,0.0056,0.0049,37,1,2
2031.a4.txt,0.0168,0.0104,0.0069,0.005,37,3,8
2032.a4.txt,0.0209,0.0133,0.0068,0.0054,43,0,1
2034.a4.txt,0.0183,0.0143,0.0059,0.0059,14,4,27
2035.a4.txt,0.015,0.0118,0.0039,0.0046,3,0,9
2036.a4.txt,0.0122,0.0125,0.0067,0.0043,39,2,0
2038.a4.txt,0.0167,0.0094,0.006,0.004,27,0,3
2039.a4.txt,0.018,0.0103,0.0065,0.0054,24,2,3
2040.a4.txt,0.014,0.0127,0.0044,0.0035,16,2,9
2042.a4.txt,0.015,0.0107,0.0067,0.0028,44,2,0
2044.a4.txt,0.0124,0.0082,0.0053,0.0023,23,7,3
2046.a4.txt,0.0146,0.0109,0.0075,0.0044,30,0,3
2048.a4.txt,0.0218,0.0134,0.0095,0.0043,33,2,4
