Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0107.b6.txt,0.0136,0.0095,0.0069,0.0032,8,0,1
0137.b6.txt,0.0131,0.0094,0.0068,0.004,1,0,0
0151.b6.txt,0.0121,0.0106,0.0054,0.0045,9,0,0
0157.b6.txt,0.0088,0.0101,0.0051,0.0046,5,0,0
0158.b6.txt,0.0132,0.0109,0.0065,0.0057,10,0,0
0178.b6.txt,0.0166,0.0106,0.0085,0.0053,6,0,2
0185.b6.txt,0.0112,0.0091,0.0052,0.0029,8,0,0
0198.b6.txt,0.0106,0.0082,0.005,0.0031,8,0,0
0219.b6.txt,0.0121,0.0094,0.0037,0.0027,6,1,0
0223.b6.txt,0.0137,0.0097,0.0055,0.0051,12,0,0
0238.b6.txt,0.0086,0.0088,0.005,0.0026,3,0,0
0318.b6.txt,0.0179,0.01,0.0087,0.0046,9,0,2
