Artist,Term,Percentage,All_Percentage,N_Songs
ABBA,love,35.4,37.17,113
ABBA,loved,2.65,37.17,113
ABBA,romantic,0.88,37.17,113
ABBA,loves,1.77,37.17,113
ABBA,lovers,1.77,37.17,113
