Artist,Term,Percentage,All_Percentage,N_Songs
ABBA,love,35.4,39.82,113
ABBA,hate,2.65,39.82,113
ABBA,loving,2.65,39.82,113
ABBA,loved,2.65,39.82,113
ABBA,loves,1.77,39.82,113
ABBA,adore,0.88,39.82,113
